ID,CODE,RU_NAME,KZ_NAME,CHANGE_DATE,KATO
70,1907236,УЙГУРСКИЙ РАЙОН,ЎЙЄЫР АУДАНЫ,2008-03-01 13:21:45,196600000
71,1907240,ЧИЛИКСКИЙ РАЙОН,ШЕЛЕК,2008-03-01 13:21:45,194000000
72,1910261,АЛАТАУСКИЙ,АЛАТАУ,2008-03-01 13:21:45,751210000
73,1910274,АЛМАЛИНСКИЙ,АЛМАЛЫ,2008-03-01 13:21:45,751110000
74,1910262,АУЭЗОВСКИЙ,ЈУЕЗОВ,2008-03-01 13:21:45,751310000
75,1910264,БОСТАНДЫКСКИЙ,БОСТАНДЫЌ,2008-03-01 13:21:45,751410000
76,1910267,ЖЕТЫСУСКИЙ,ЖЕТІСУ,2008-03-01 13:21:45,751510000
77,1910278,МЕДЕУСКИЙ,МЕДЕУ,2008-03-01 13:21:45,751710000
78,1910268,МОСКОВСКИЙ,МОСКВА,2008-03-01 13:21:45,751510000
79,1910270,ТУРКСИБСКИЙ,ТУРКІСІБ,2008-03-01 13:21:45,751910000
80,1913203,АЛМАТЫ РАЙОН,АЛМАТЫ АУДАНЫ,2008-03-01 13:21:45,711110000
81,1913201,САРЫАРКА РАЙОН,САРЫАРЌА АУДАНЫ,2008-03-01 13:21:45,711310000
82,1915401,АТЫРАУ,АТЫРАУ,2008-03-01 13:21:45,231010000
83,1915204,БАЛЫКШИНСКИЙ РАЙОН,БАЛЫЌШЫ АУДАНЫ,2008-03-01 13:21:45,231000000
84,1915239,ЖЫЛЫОЙСКИЙ РАЙОН,ЖЫЛЫОЙ АУДАНЫ,2008-03-01 13:21:45,233600000
85,1915213,ИНДЕРСКИЙ РАЙОН,ИНДЕР АУДАНЫ,2008-03-01 13:21:45,234000000
86,1915215,ИСАТАЙСКИЙ РАЙОН,ИСАТАЙ АУДАНЫ,2008-03-01 13:21:45,234200000
87,1915217,КЗЫЛКОГИНСКИЙ РАЙОН,ЌЫЗЫЛЌОЄА АУДАНЫ,2008-03-01 13:21:45,234800000
88,1915208,КУРМАНГАЗИНСКИЙ РАЙОН,ЌЎРМАНЄАЗЫ АУДАНЫ,2008-03-01 13:21:45,234600000
89,1915222,МАКАТСКИЙ РАЙОН,МАЌАТ АУДАНЫ,2008-03-01 13:21:45,235200000
90,1915227,МАХАМБЕТСКИЙ РАЙОН,МАХАМБЕТ АУДАНЫ,2008-03-01 13:21:45,235600000
91,1917201,АБАЙСКИЙ РАЙОН,АБАЙ АУДАНЫ,2008-03-01 13:21:45,633200000
92,1917202,АБРАЛИНСКИЙ РАЙОН,АБЫРАЛЫ,2008-03-01 13:21:45,632800000
93,1917204,АКСУАТСКИЙ РАЙОН,АЌСУАТ АУДАНЫ,2008-03-01 13:21:45,635800000
94,1917403,АЯГУЗ,АЯГҐЗ,2008-03-01 13:21:45,631810000
95,1917207,АЯГУЗСКИЙ РАЙОН,АЯГҐЗ  АУДАНЫ,2008-03-01 13:21:45,633400000
96,1917210,БЕСКАРАГАЙСКИЙ Р-Н,БЕСЌАРАЄАЙ АУДАНЫ,2008-03-01 13:21:45,633600000
97,1917205,БОЛЬШЕНАРЫМСКИЙ Р-Н,БОЛЬШЕНАРЫМ,2008-03-01 13:21:45,635400000
98,1917248,БОРОДУЛИХИНСКИЙ Р-Н,БОРОДУЛИХА АУДАНЫ,2008-03-01 13:21:45,633800000
99,1917208,ГЛУБОКОВСКИЙ РАЙОН,ГЛУБОКОВ,2008-03-01 13:21:45,634000000
100,1917216,ЖАНАСЕМЕЙСКИЙ Р-Н,ЖАЅАСЕМЕЙ АУДАНЫ,2008-03-01 13:21:45,633800000
101,1917219,ЖАРМИНСКИЙ РАЙОН,ЖАРМА АУДАНЫ,2008-03-01 13:21:45,634400000
102,1917213,ЗАЙСАНСКИЙ РАЙОН,ЗАЙСАН АУДАНЫ,2008-03-01 13:21:45,634600000
103,1917404,ЗЫРЬЯНОВСК,ЗЫРЯНОВСК,2008-03-01 13:21:45,634820000
104,1917215,ЗЫРЯНОВСКИЙ РАЙОН,ЗЫРЯНОВ АУДАНЫ,2008-03-01 13:21:45,634800000
105,1917217,КАТОН-КАРАГАЙСКИЙ Р-Н,КАТОН-ЌАРАЄАЙ АУДАНЫ,2008-03-01 13:21:45,635400000
106,1917224,КОКПЕКТИНСКИЙ Р-Н,КҐКПЕКТІ АУДАНЫ,2008-03-01 13:21:45,635000000
107,1917405,КУРЧАТОВ,КУРЧАТОВ,2008-03-01 13:21:45,632210000
121,1917251,УЛАНСКИЙ РАЙОН,ЎЛАН АУДАНЫ,2008-03-01 13:21:45,636200000
122,1917367,УЛЬБИНСКИЙ РАЙОН,ЇЛБІ АУДАНЫ,2008-03-01 13:21:45,631000000
123,1917237,УРДЖАРСКИЙ РАЙОН,ЎРЖАР АУДАНЫ,2008-03-01 13:21:45,636400000
124,1917401,УСТЬ-КАМЕНОГОРСК,ҐСКЕМЕН,2008-03-01 13:21:45,631010000
125,1917242,ЧАРСКИЙ РАЙОН,ЧАР,2008-03-01 13:21:45,634400000
126,1917245,ЧУБАРТАУСКИЙ РАЙОН,ШЎБАРТАУ АУДАНЫ,2008-03-01 13:21:45,633400000
127,1917254,ШЕМОНАИХИНСКИЙ Р-Н,ШЕМОНАИХА АУДАНЫ,2008-03-01 13:21:45,636800000
128,1919236,БАЙЗАКСКИЙ РАЙОН,БАЙЗАЌ АУДАНЫ,2008-03-01 13:21:45,313600000
129,1919204,ЖАМБЫЛСКИЙ РАЙОН,ЖАМБЫЛ АУДАНЫ,2008-03-01 13:21:45,314000000
